year,open_id,classification,base_first_year,base_last_year,nearest_base_year_before,nearest_base_year_after,base_school_types,base_regions,base_branch_types,orphan_school_types,dataset_count,datasets,dataset_orphan_key_occurrences,affected_row_count
2016,8889203906,after_base_last_seen,2009,2015,2015,,대학원,부산,본교,대학원,1,0502 전체교원대비전임교원현황,1,7
2016,9080059170,open_id_absent_all_years,,,,,,,,대학원,1,0502 전체교원대비전임교원현황,1,1
2017,5352496743,after_base_last_seen,2010,2015,2015,,전문대학,경기,본교,전문대학,9,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1026 현장실습운영현황|1207 기숙사수용현황,9,131
2019,2957261025,open_id_absent_all_years,,,,,,,,대학원,1,0502 전체교원대비전임교원현황,1,1
2019,4327552795,after_base_last_seen,2009,2018,2018,,전문대학,경남,본교,,1,0001 학생인적취업정보,1,1
2019,9063735783,after_base_last_seen,2009,2018,2018,,대학,전남,본교,대학,2,0001 학생인적취업정보|0316 중도탈락학생현황,2,125
2020,3694659829,after_base_last_seen,2009,2019,2019,,전문대학,서울,본교,전문대학,2,0316 중도탈락학생현황|1016 장학금수혜현황,2,4
2020,9708125770,after_base_last_seen,2009,2019,2019,,대학,서울,본교,대학,1,1016 장학금수혜현황,1,314
2021,3428787469,after_base_last_seen,2009,2020,2020,,전문대학,부산,본교,전문대학,2,0001 학생인적취업정보|0316 중도탈락학생현황,2,674
2021,8897112667,after_base_last_seen,2009,2020,2020,,대학,경남,본교,대학,1,0316 중도탈락학생현황,1,93
2022,3428787469,after_base_last_seen,2009,2020,2020,,전문대학,부산,본교,,1,0001 학생인적취업정보,1,632
2022,4423430502,after_base_last_seen,2009,2021,2021,,전문대학,전북,본교,,1,0001 학생인적취업정보,1,274
2024,1055907428,after_base_last_seen,2009,2023,2023,,대학,대전,본교,대학,1,0503 전임교원1인당학생현황,1,5
2024,2747833073,after_base_last_seen,2009,2023,2023,,대학,경기,본교,대학,1,0503 전임교원1인당학생현황,1,5
2024,7602205455,after_base_last_seen,2009,2022,2022,,대학원,대구,본교,대학원,1,1014 연구비수혜실적,1,1
2025,1055907428,after_base_last_seen,2009,2023,2023,,대학,대전,본교,대학,1,0503 전임교원1인당학생현황,1,5
