academyinfo_school_id,school_name_2023,school_name_2024,school_full_name_2023,school_full_name_2024,school_division_2023,school_division_2024,school_kind_2023,school_kind_2024,branch_2023,branch_2024,region_2023,region_2024,academyinfo_enrollment_2023,academyinfo_enrollment_2024,edss_exact_open_id_count_2023,edss_exact_open_id_count_2024,edss_exact_open_ids_2023,edss_exact_open_ids_2024,candidate_open_id,candidate_method,resolution_status
0000568,웅지세무대학교,웅지세무대학교,웅지세무대학교 _ 본교,웅지세무대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,932,669,1,1,2132430791,2132430791,2132430791,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000569,김해대학교,김해대학교,김해대학교 _ 본교,김해대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경남,경남,1675,1632,1,1,4882078588,4882078588,4882078588,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000570,한국승강기대학교,한국승강기대학교,한국승강기대학교 _ 본교,한국승강기대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경남,경남,1158,1041,1,1,9748064398,9748064398,9748064398,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000578,한국골프과학기술대학교,한국골프과학기술대학교,한국골프과학기술대학교 _ 본교,한국골프과학기술대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,625,641,1,1,7180546641,7180546641,7180546641,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002573,경동대학교,경동대학교,경동대학교 _ 제2캠퍼스,경동대학교 _ 제2캠퍼스,대학,대학,대학교,대학교,제2캠퍼스,제2캠퍼스,강원,강원,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0002574,경동대학교,경동대학교,경동대학교 _ 제3캠퍼스,경동대학교 _ 제3캠퍼스,대학,대학,대학교,대학교,제3캠퍼스,제3캠퍼스,강원,강원,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0002639,강원도립대학교,강원도립대학교,강원도립대학교 _ 본교,강원도립대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,강원,강원,909,901,1,1,7425608277,7425608277,7425608277,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002640,경남정보대학교,경남정보대학교,경남정보대학교 _ 본교,경남정보대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,부산,부산,9457,8741,0,0,,,,,unresolved_two_year_exact_match_not_unique
0002641,경복대학교,경복대학교,경복대학교 _ 본교,경복대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,7793,7941,0,1,,4695447266,,,unresolved_two_year_exact_match_not_unique
0002642,경북전문대학교,경북전문대학교,경북전문대학교 _ 본교,경북전문대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경북,경북,3172,3128,1,1,5197615802,5197615802,5197615802,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002644,대구미래대학교,대구미래대학교,대구미래대학교 _ 본교,대구미래대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경북,경북,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0002645,서라벌대학교,서라벌대학교,서라벌대학교 _ 본교,서라벌대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경북,경북,680,464,1,1,3319877982,3319877982,3319877982,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002646,서영대학교,서영대학교,서영대학교 _ 본교,서영대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,전남광주,전남광주,6953,6881,0,0,,,,,unresolved_two_year_exact_match_not_unique
0002647,성운대학교,성운대학교,성운대학교 _ 본교,성운대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경북,경북,1607,1612,1,1,4644152700,4644152700,4644152700,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002649,수성대학교,수성대학교,수성대학교 _ 본교,수성대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,대구,대구,4200,4209,1,1,7361554980,7361554980,7361554980,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002650,안동과학대학교,안동과학대학교,안동과학대학교 _ 본교,안동과학대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경북,경북,2573,2487,1,1,3716863155,3716863155,3716863155,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002651,연성대학교,연성대학교,연성대학교 _ 본교,연성대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,8299,8437,1,1,8415538132,8415538132,8415538132,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002652,연암공과대학교,연암공과대학교,연암공과대학교 _ 본교,연암공과대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경남,경남,2255,2084,1,1,3230940222,3230940222,3230940222,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0002653,오산대학교,오산대학교,오산대학교 _ 본교,오산대학교 _ 본교,전문대학,전문대학,전문대학,전문대학,본교,본교,경기,경기,6031,6119,1,1,5241208136,5241208136,5241208136,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
