source,domn_code,dataset,advertised_years,status,archive_count,size_bytes,errors
대학정보공시,17130,재학생충원현황_대학원,2009~2025,downloaded,1,1041881,
대학정보공시,17131,편입학선발결과,2009~2025,downloaded,1,1869556,
대학정보공시,17132,재적학생현황,2009~2025,downloaded,1,6150507,
대학정보공시,17136,재적학생현황_대학원,2009~2025,downloaded,1,3068166,
대학정보공시,17137,외국인유학생현황,2009~2025,downloaded,1,713650,
대학정보공시,17138,외국인유학생현황_대학원,2009~2025,downloaded,1,797918,
대학정보공시,17139,외국인유학생중도탈락현황,2010~2025,downloaded,1,447420,
대학정보공시,17140,외국인유학생중도탈락현황_대학원,2010~2025,downloaded,1,507154,
대학정보공시,17141,중도탈락학생현황,2009~2025,downloaded,1,5284134,
대학정보공시,17142,중도탈락학생현황_대학원,2009~2025,downloaded,1,4605466,
대학정보공시,17143,학사학위전공심화과정학생현황,2009~2025,downloaded,1,18971,
대학정보공시,17144,신입생의출신고등학교유형별현황,2010~2025,downloaded,1,1099543,
대학정보공시,12400,졸업생현황,2009~2025,downloaded,1,18882006,
대학정보공시,17164,졸업생현황_일반대학원,2009~2023,downloaded,1,3287068,
대학정보공시,17165,졸업생현황_전문대학원,2009~2023,downloaded,1,749173,
대학정보공시,17166,졸업생현황_특수대학원,2013~2023,downloaded,1,690587,
대학정보공시,12412,졸업생진학현황_일반대학원,"2009~2019, 2021~2022",downloaded,1,2255316,
대학정보공시,17333,졸업생진학현황_전문대학원,"2009~2015, 2017~2023",downloaded,1,775834,
대학정보공시,17167,졸업생진학현황_일반대학원_대학원,"2009~2019, 2022",downloaded,1,565759,
대학정보공시,17168,졸업생진학현황_전문대학원_대학원,2009~2023,downloaded,1,176577,
대학정보공시,17169,졸업생진학현황_특수대학원,2009~2023,downloaded,1,915114,
대학정보공시,12421,졸업생취업현황,"2009~2019, 2022, 2024~2025",downloaded,1,6558830,
대학정보공시,17170,졸업생취업현황_일반대학원,"2009~2019, 2022",downloaded,1,1469447,
대학정보공시,17171,졸업생취업현황_전문대학원,2009~2023,downloaded,1,241267,
