_panel_year,_school_identity_key,학교명,본분교명,시도명,학교종류명,source_row_count,department_count,department_college_pair_count,candidate_open_id,candidate_method,bridge_year_exists,province_context_match,branch_context_match,resolution_status
2023,employment-school-f61fc85a4b92a9cba3e5,강원도립대학교,본교,강원,전문대학,12,12,12,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-886a166945a23c0fd58e,개신대학원대학교,본교,서울,전문대학원,9,9,9,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-e6db5927a412c860d924,거제대학교,본교,경남,전문대학,14,14,14,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-084970df5c59d10f5431,건국대학교,본교,서울,대학,79,78,79,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-409509fd634733cb352c,건국대학교,분교,충북,대학,76,71,76,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-35e97959c12bd76cc62f,건국대학교건축전문대학원,본교,서울,전문대학원,2,2,2,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-9b6271154d3bcbbe4455,건국대학교 경영전문대학원,본교,서울,전문대학원,3,3,3,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-e272d45769f43c3340d4,건국대학교교육대학원,본교,서울,특수대학원,4,4,4,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-9f40a86231f855b0a7f1,건국대학교 교육대학원,분교,충북,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-51a55ed8e1e782378ef0,건국대학교농축대학원,본교,서울,특수대학원,8,8,8,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-c7a484e6d24397a2634e,건국대학교 법학전문대학원,본교,서울,전문대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-0ebdb06289ce3f6daeb4,건국대학교부동산대학원,본교,서울,특수대학원,6,6,6,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-5be212d49ca98b0be183,건국대학교산업대학원,본교,서울,특수대학원,6,6,6,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-6cc4f36e69b82b8762f8,건국대학교 수의방역대학원,본교,서울,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-a5b959250679b0b7b09c,건국대학교언론홍보대학원,본교,서울,특수대학원,3,3,3,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-addd99797992b452e034,건국대학교 예술디자인대학원,본교,서울,특수대학원,8,8,8,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-8652c2abc7dbf9d77624,건국대학교 의학전문대학원,분교,충북,전문대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-06fb40a5323ed92f35c8,건국대학교일반대학원,본교,서울,일반대학원,90,90,90,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-d02a63b2b1e9da6602c7,건국대학교 일반대학원,분교,충북,일반대학원,23,23,23,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-48aab6918eaa1d7aca92,건국대학교정보통신대학원,본교,서울,특수대학원,3,3,3,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-f00179667e879292650f,건국대학교 창의융합대학원,분교,충북,특수대학원,3,3,3,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-acd2f69d2c406ddf3203,건국대학교행정대학원,본교,서울,특수대학원,6,6,6,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-f062f0978c4c816ed8b7,건신대학원대학교,본교,대전,전문대학원,7,7,7,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-cb113d147a780d5e646a,건양대학교,본교,충남,대학,44,44,44,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-79991f8bd51948b7276f,건양대학교,캠퍼스,대전,대학,17,17,17,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-3a3b273e69c739a5aa76,건양대학교 경영사회복지대학원,캠퍼스,대전,특수대학원,4,4,4,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-693419d3c13aa0066619,건양대학교 군사경찰행정대학원,캠퍼스,대전,특수대학원,3,3,3,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
