_panel_year,개방ID,_0101_exists,_0101_match_status,_review_status,_0101_source_row_count,_0101_branch_count,_0101_branch_names,_0101_province_count,_0101_provinces,_0101_region_count,_0101_regions,_0101_school_type_count,_0101_school_types,_0101_campus_scope,_source_dataset_count,_source_catalog_codes,_source_row_count
2009,1367677748,true,matched,not_required,1,1,본교,1,대전,1,대전 서구,1,대학원,single_campus,2,0101|0105,5
2009,1369307458,true,matched,not_required,2,2,본교|분교1,2,강원|서울,2,강원 원주시|서울 서대문구,1,대학,multiple_campuses,12,0101|0103|0305|0310|0316|0502|0503|0601|0714|1014|1016|1207,3309
2009,1370042920,true,matched,not_required,1,1,본교,1,충북,1,충북 제천시,1,전문대학,single_campus,9,0101|0305|0310|0316|0601|0714|1014|1016|1207,1124
2009,1375569343,true,matched,not_required,1,1,본교,1,인천,1,인천 남구,1,대학원,single_campus,2,0101|0105,2
2009,1384294033,true,matched,not_required,1,1,본교,1,경북,1,경북 포항시,1,대학원,single_campus,5,0101|0105|0502|0601|1014,5
2009,1393220961,true,matched,not_required,1,1,본교,1,광주,1,광주 동구,1,대학원,single_campus,3,0101|0105|0502,4
2009,1394314229,true,matched,not_required,1,1,본교,1,경기,1,경기 용인시,1,대학원,single_campus,3,0101|0105|0502,9
2009,1396355926,true,matched,not_required,1,1,본교,1,광주,1,광주 북구,1,대학원,single_campus,2,0101|0105,4
2009,1400377094,true,matched,not_required,1,1,본교,1,서울,1,서울 종로구,1,대학원,single_campus,3,0101|0103|0105,10
2009,1404079616,true,matched,not_required,1,1,본교,1,광주,1,광주 남구,1,대학원,single_campus,3,0101|0105|0502,10
2009,1404567241,true,matched,not_required,2,2,본교|제2캠퍼스,2,광주|전남,2,광주 북구|전남 여수시,1,대학,multiple_campuses,12,0101|0103|0305|0310|0316|0502|0503|0601|0714|1014|1016|1207,3560
2009,1406099319,true,matched,not_required,1,1,본교,1,서울,1,서울 중구,1,대학원대학,single_campus,7,0101|0105|0502|0503|0601|1014|1207,13
2009,1412161648,true,matched,not_required,1,1,본교,1,경기,1,경기 용인시,1,대학원,single_campus,2,0101|0105,4
2009,1412962555,true,matched,not_required,1,1,분교1,1,충북,1,충북 충주시,1,대학원,single_campus,3,0101|0105|0502,3
2009,1428747355,true,matched,not_required,1,1,본교,1,강원,1,강원 춘천시,1,대학원,single_campus,2,0101|0105,2
2009,1429644823,true,matched,not_required,1,1,본교,1,충남,1,충남 당진군,1,전문대학,single_campus,9,0101|0305|0310|0316|0601|0714|1014|1016|1207,787
2009,1431829750,true,matched,not_required,1,1,본교,1,대구,1,대구 중구,1,대학원,single_campus,2,0101|0105,2
2009,1432527661,true,matched,not_required,1,1,본교,1,서울,1,서울 종로구,1,대학원,single_campus,2,0101|0105,4
2009,1440389752,true,matched,not_required,1,1,본교,1,인천,1,인천 남구,1,대학원,single_campus,3,0101|0105|0502,9
2009,1449412167,true,matched,not_required,1,1,본교,1,서울,1,서울 성동구,1,대학,single_campus,10,0101|0103|0305|0310|0316|0502|0601|0714|1014|1016,303
2009,1451274156,true,matched,not_required,1,1,본교,1,광주,1,광주 광산구,1,대학원,single_campus,2,0101|0105,4
2009,1454932153,true,matched,not_required,1,1,본교,1,경기,1,경기 군포시,1,대학원,single_campus,3,0101|0105|0502,6
2009,1456904113,true,matched,not_required,1,1,본교,1,서울,1,서울 중구,1,대학원,single_campus,3,0101|0105|0502,9
2009,1459086894,true,matched,not_required,1,1,본교,1,경기,1,경기 용인시,1,대학원,single_campus,2,0101|0105,2
2009,1459821283,true,matched,not_required,1,1,본교,1,서울,1,서울 광진구,1,대학원,single_campus,3,0101|0105|0502,6
2009,1471543610,true,matched,not_required,1,1,본교,1,서울,1,서울 성북구,1,대학원,single_campus,3,0101|0105|0502,8
