province,parent_school_name,parent_resolution_method,graduate_school_identity_count,department_count,graduate_school_kinds,component_school_names
서울,성공회대학교,longest_undergraduate_name_prefix,7,17,특수대학원,성공회대학교 사회적경제대학원|성공회대학교 시민평화대학원|성공회대학교 신학대학원|성공회대학교NGO대학원|성공회대학교교육대학원|성공회대학교문화대학원|성공회대학교시민사회복지대학원
서울,성균관대학교,longest_undergraduate_name_prefix,19,51,전문대학원|특수대학원,성균관대학교 경영(전문)대학원|성균관대학교 경영대학원|성균관대학교 경영대학원(iMBA)|성균관대학교 교육대학원|성균관대학교 국가전략대학원|성균관대학교 국정관리대학원|성균관대학교 국정전문대학원|성균관대학교 글로벌보험연금대학원|성균관대학교 디자인대학원|성균관대학교 문화융합대학원|성균관대학교 미디어문화융합대학원|성균관대학교 번역·테솔(TESOL)대학원|성균관대학교 법학전문대학원|성균관대학교 사회복지대학원|성균관대학교 생활과학대학원|성균관대학교 언론정보대학원|성균관대학교 유학대학원|성균관대학교 정보통신대학원|성균관대학교 중국대학원
서울,성신여자대학교,longest_undergraduate_name_prefix,5,7,특수대학원,성신여자대학교 AI세무·회계대학원|성신여자대학교 문화산업예술대학원|성신여자대학교 뷰티융합대학원|성신여자대학교 생애복지대학원|성신여자대학교교육대학원
서울,세종대학교,longest_undergraduate_name_prefix,7,32,전문대학원|특수대학원,세종대학교 공공정책대학원|세종대학교 산업대학원|세종대학교 융합예술대학원|세종대학교경영전문대학원|세종대학교공연예술대학원|세종대학교관광대학원|세종대학교교육대학원
서울,세종사이버대학교,longest_undergraduate_name_prefix,2,2,특수대학원,세종사이버대학교  경영대학원|세종사이버대학교  정보보호대학원
서울,수도국제대학원대학교,standalone_graduate_university,1,6,전문대학원,수도국제대학원대학교
서울,숙명여자대학교,longest_undergraduate_name_prefix,11,43,전문대학원|특수대학원,숙명여자대학교 TESOL·국제학대학원|숙명여자대학교 경영전문대학원|숙명여자대학교 교육대학원|숙명여자대학교 국제관계대학원|숙명여자대학교 문화예술대학원|숙명여자대학교 사회교육대학원|숙명여자대학교 심리치료대학원|숙명여자대학교 원격대학원|숙명여자대학교 음악치료대학원|숙명여자대학교 인적자원개발대학원|숙명여자대학교 정책대학원
서울,순복음대학원대학교,standalone_graduate_university,1,4,전문대학원,순복음대학원대학교
서울,숭실대학교,longest_undergraduate_name_prefix,7,40,특수대학원,숭실대학교 경영대학원|숭실대학교 교육대학원|숭실대학교 기독교학대학원|숭실대학교 사회복지대학원|숭실대학교 안전융합대학원|숭실대학교 정보과학대학원|숭실대학교 중소기업대학원
서울,연세대학교,longest_undergraduate_name_prefix,16,64,전문대학원|특수대학원,연세대학교 간호대학원|연세대학교 경영전문대학원|연세대학교 경제대학원|연세대학교 공학대학원|연세대학교 교육대학원|연세대학교 국제학대학원|연세대학교 법무대학원|연세대학교 법학전문대학원|연세대학교 보건대학원|연세대학교 사회복지대학원|연세대학교 생활환경대학원|연세대학교 언론홍보대학원|연세대학교 연합신학대학원|연세대학교 정보대학원|연세대학교 커뮤니케이션대학원|연세대학교 행정대학원
